date,unix_timestamp,timestamp,wifi,real,direction,kmh,lat,long
06/12/2017,1512587298,2017-12-06T19:08:18.000Z,3,1,0,36.1008,-23.647079703,-46.702072304
06/12/2017,1512587299,2017-12-06T19:08:19.000Z,3,1,0,35.3808,-23.647005791,-46.702014631
06/12/2017,1512587300,2017-12-06T19:08:20.000Z,3,1,0,37.656000000000006,-23.646924958,-46.701958197
06/12/2017,1512587301,2017-12-06T19:08:21.000Z,3,1,0,38.376000000000005,-23.646840765,-46.701901697
06/12/2017,1512587302,2017-12-06T19:08:22.000Z,3,1,0,37.9836,-23.646758266,-46.701846075
06/12/2017,1512587303,2017-12-06T19:08:23.000Z,3,1,0,35.874,-23.64667621,-46.701796397
06/12/2017,1512587304,2017-12-06T19:08:24.000Z,3,1,0,33.443999999999996,-23.646591927,-46.701761745
06/12/2017,1512587305,2017-12-06T19:08:25.000Z,3,1,0,25.596,-23.646544258,-46.701716284
06/12/2017,1512587306,2017-12-06T19:08:26.000Z,3,1,0,19.6992,-23.646500766,-46.701681871
06/12/2017,1512587307,2017-12-06T19:08:27.000Z,3,1,0,11.376000000000001,-23.646473493,-46.701658368
06/12/2017,1512587308,2017-12-06T19:08:28.000Z,3,1,0,3.2364,-23.646465395,-46.701645481
06/12/2017,1512587309,2017-12-06T19:08:29.000Z,3,1,0,0.18359999999999999,-23.646465766,-46.701636242
06/12/2017,1512587310,2017-12-06T19:08:30.000Z,3,1,0,0.2808,-23.646470427,-46.701624613
06/12/2017,1512587311,2017-12-06T19:08:31.000Z,3,1,0,0.864,-23.6464693,-46.701620216
06/12/2017,1512587312,2017-12-06T19:08:32.000Z,3,1,0,0.18000000000000002,-23.646472955,-46.70161382
06/12/2017,1512587313,2017-12-06T19:08:33.000Z,3,1,0,0.4068,-23.646475345,-46.701608779
06/12/2017,1512587314,2017-12-06T19:08:34.000Z,3,1,0,0.0252,-23.646476798,-46.701605519
06/12/2017,1512587315,2017-12-06T19:08:35.000Z,3,1,0,0.1008,-23.646476202,-46.701602884
06/12/2017,1512587316,2017-12-06T19:08:36.000Z,3,1,0,0.057600000000000005,-23.646474099,-46.701600485
06/12/2017,1512587317,2017-12-06T19:08:37.000Z,3,1,0,0.0756,-23.646470019,-46.701597872
06/12/2017,1512587318,2017-12-06T19:08:38.000Z,3,1,0,0.0756,-23.646465632,-46.701596427
06/12/2017,1512587319,2017-12-06T19:08:39.000Z,3,1,0,0.0252,-23.646465658,-46.701595254
06/12/2017,1512587320,2017-12-06T19:08:40.000Z,3,1,0,0.1728,-23.646464158,-46.701594884
06/12/2017,1512587321,2017-12-06T19:08:41.000Z,3,1,0,0.162,-23.646461711,-46.701594124
06/12/2017,1512587322,2017-12-06T19:08:42.000Z,3,1,0,0.1908,-23.646458738,-46.70159356
06/12/2017,1512587323,2017-12-06T19:08:43.000Z,3,1,0,1.5156,-23.646456526,-46.701591228
06/12/2017,1512587324,2017-12-06T19:08:44.000Z,3,1,0,2.2644,-23.646454502,-46.701586732
06/12/2017,1512587325,2017-12-06T19:08:45.000Z,3,1,0,3.4776,-23.646448449,-46.701580871
06/12/2017,1512587326,2017-12-06T19:08:46.000Z,3,1,0,7.1568000000000005,-23.646434488,-46.701570588
06/12/2017,1512587327,2017-12-06T19:08:47.000Z,3,1,0,10.3356,-23.646412261,-46.701557663
06/12/2017,1512587328,2017-12-06T19:08:48.000Z,3,1,0,15.0192,-23.646378843,-46.701538248
06/12/2017,1512587329,2017-12-06T19:08:49.000Z,3,1,0,23.759999999999998,-23.646210993,-46.70141408
06/12/2017,1512587330,2017-12-06T19:08:50.000Z,3,1,0,19.2132,-23.646305473,-46.701482005
06/12/2017,1512587332,2017-12-06T19:08:52.000Z,3,1,0,20.174400000000002,-23.646116361,-46.701350938
06/12/2017,1512587333,2017-12-06T19:08:53.000Z,3,1,0,10.7856,-23.646051786,-46.701315764
06/12/2017,1512587334,2017-12-06T19:08:54.000Z,3,1,0,5.2704,-23.646034491,-46.701308219
06/12/2017,1512587335,2017-12-06T19:08:55.000Z,3,1,0,0.27,-23.646019262,-46.701306903
06/12/2017,1512587336,2017-12-06T19:08:56.000Z,3,1,0,0.25200000000000006,-23.646015137,-46.70130777
06/12/2017,1512587337,2017-12-06T19:08:57.000Z,3,1,0,1.1124,-23.646009978,-46.701310985
06/12/2017,1512587338,2017-12-06T19:08:58.000Z,3,1,0,0.0972,-23.646007082,-46.701307864
06/12/2017,1512587339,2017-12-06T19:08:59.000Z,3,1,0,0.6552,-23.646006253,-46.70130489
06/12/2017,1512587340,2017-12-06T19:09:00.000Z,3,1,0,0.1008,-23.64600543,-46.701300563
06/12/2017,1512587341,2017-12-06T19:09:01.000Z,3,1,0,0.9504,-23.646009571,-46.701291469
06/12/2017,1512587343,2017-12-06T19:09:03.000Z,3,1,0,0.2592,-23.646014137,-46.701281109
06/12/2017,1512587344,2017-12-06T19:09:04.000Z,3,1,0,0.9720000000000001,-23.646019328,-46.701271317
06/12/2017,1512587345,2017-12-06T19:09:05.000Z,3,1,0,0.7056,-23.646021135,-46.701266198
06/12/2017,1512587346,2017-12-06T19:09:06.000Z,3,1,0,0.3312,-23.64602082,-46.701262266
06/12/2017,1512587347,2017-12-06T19:09:07.000Z,3,1,0,0.1044,-23.646024107,-46.701253795
06/12/2017,1512587348,2017-12-06T19:09:08.000Z,3,1,0,1.116,-23.646024402,-46.701245144
06/12/2017,1512587349,2017-12-06T19:09:09.000Z,3,1,0,1.9728,-23.646023635,-46.701235237
06/12/2017,1512587350,2017-12-06T19:09:10.000Z,3,1,0,1.9260000000000002,-23.646020702,-46.701228055
06/12/2017,1512587351,2017-12-06T19:09:11.000Z,3,1,0,3.1644,-23.646015551,-46.701218852
06/12/2017,1512587352,2017-12-06T19:09:12.000Z,3,1,0,4.2084,-23.646005825,-46.701210083
06/12/2017,1512587353,2017-12-06T19:09:13.000Z,3,1,0,4.3416,-23.645996524,-46.701201144
06/12/2017,1512587354,2017-12-06T19:09:14.000Z,3,1,0,5.122800000000001,-23.645986057,-46.701187202
06/12/2017,1512587355,2017-12-06T19:09:15.000Z,3,1,0,5.7816,-23.645972053,-46.701176738
06/12/2017,1512587356,2017-12-06T19:09:16.000Z,3,1,0,6.7968,-23.645952927,-46.701171052
06/12/2017,1512587357,2017-12-06T19:09:17.000Z,3,1,0,8.240400000000001,-23.645932523,-46.701161443
06/12/2017,1512587358,2017-12-06T19:09:18.000Z,3,1,0,7.8012,-23.645913726,-46.701152929
06/12/2017,1512587359,2017-12-06T19:09:19.000Z,3,1,0,12.2688,-23.645880415,-46.701138151
06/12/2017,1512587360,2017-12-06T19:09:20.000Z,3,1,0,13.1508,-23.645850484,-46.701124812
06/12/2017,1512587361,2017-12-06T19:09:21.000Z,3,1,0,15.4944,-23.645813144,-46.701111375
06/12/2017,1512587362,2017-12-06T19:09:22.000Z,3,1,0,18.320400000000003,-23.645773466,-46.701097665
06/12/2017,1512587363,2017-12-06T19:09:23.000Z,3,1,0,20.847600000000003,-23.645725297,-46.701078916
06/12/2017,1512587364,2017-12-06T19:09:24.000Z,3,1,0,22.8384,-23.645673497,-46.701056127
06/12/2017,1512587365,2017-12-06T19:09:25.000Z,3,1,0,23.9148,-23.645619984,-46.701027259
06/12/2017,1512587366,2017-12-06T19:09:26.000Z,3,1,0,25.5564,-23.64556351,-46.700992056
06/12/2017,1512587367,2017-12-06T19:09:27.000Z,3,1,0,29.5344,-23.645489606,-46.700953368
06/12/2017,1512587368,2017-12-06T19:09:28.000Z,3,1,0,33.040800000000004,-23.645414984,-46.700901973
06/12/2017,1512587369,2017-12-06T19:09:29.000Z,3,1,0,34.750800000000005,-23.645342199,-46.700849829
06/12/2017,1512587370,2017-12-06T19:09:30.000Z,3,1,0,36.147600000000004,-23.645265554,-46.70079534
06/12/2017,1512587371,2017-12-06T19:09:31.000Z,3,1,0,36.1332,-23.645190229,-46.700741128
06/12/2017,1512587372,2017-12-06T19:09:32.000Z,3,1,0,35.6472,-23.645115601,-46.700688688
06/12/2017,1512587373,2017-12-06T19:09:33.000Z,3,1,0,33.1056,-23.645053079,-46.70063746
06/12/2017,1512587374,2017-12-06T19:09:34.000Z,3,1,0,29.898,-23.644993711,-46.70059651
06/12/2017,1512587375,2017-12-06T19:09:35.000Z,3,1,0,27.4896,-23.644936293,-46.700555928
06/12/2017,1512587376,2017-12-06T19:09:36.000Z,3,1,0,24.3576,-23.644885385,-46.700519319
